date,confirmed,death,recovered,ne_cases,growth_rate
2020-03-08,3,0,0,,
2020-03-09,3,0,0,,1
2020-03-10,3,0,0,,1
2020-03-11,3,0,0,,1
2020-03-12,3,0,0,,1
2020-03-13,3,0,0,,1
2020-03-14,3,0,0,,1
2020-03-15,5,0,0,,1.666666667
2020-03-16,8,0,2,,1.6
2020-03-17,10,0,3,,1.25
2020-03-18,14,1,3,,1.4
2020-03-19,17,1,3,,1.214285714
2020-03-20,20,1,3,,1.176470588
2020-03-21,25,2,3,,1.25
2020-03-22,27,2,3,,1.08
2020-03-23,33,3,3,,
